year,mean_lice,se_lice,route
2019,0.34942032697779185,0.08053531508958438,Wakeman
2022,0.280679349949722,0.05261968885338838,Wakeman
2023,0.046806590180720045,0.016349190940267693,Wakeman
2020,0.08271731833290882,0.025812126214739183,Wakeman
2021,0.12588260181615063,0.03582858117504929,Wakeman
2019,0.314106440095193,0.09775808176275942,Knight Inlet
2022,0.1321097062070394,0.03501649778053884,Knight Inlet
2023,0.13716735076142808,0.05101491580653588,Knight Inlet
2020,0.10999109889165284,0.04982523332056868,Knight Inlet
2021,0.10979349765847556,0.043460126763558794,Knight Inlet
2019,0.29937790247693824,0.06824294642649067,Tribune
2022,0.3104639699286101,0.058320050828823,Tribune
2023,0.07754733130820228,0.020306855215328663,Tribune
2020,0.1042037355280569,0.026665269621037792,Tribune
2021,0.1412161582880237,0.029062415903423296,Tribune
