site_code,type,site_name,lat_site,lon_site,knight_head_1,knight_head_2,wakeman_head,year,mean_lep_copes,se_lep_copes,mean_lep_adults,se_lep_adults
18,sampling,Denham Island,50.7889667,-126.4917,NA,83318.48,33187.32,2019,0.19475797509848808,0.051248929305069746,0.12957635863469383,0.062184703197904305
19,sampling,Baker Island,50.76145,-126.55655,NA,88135.61,36762.59,2019,0.399926726598119,0.10433849708000216,0.030140912715061762,0.01761637681943083
20,sampling,Jumper Island,50.7939833,-126.60127,NA,91523.42,40623.12,2019,0.46024778909046177,0.15058083637368203,0.34940779200668187,0.22450772870978153
21,sampling,Arthur Point,50.76455,-126.6626,NA,95872.05,44602.21,2019,0.21969797980234784,0.061817029318243434,0.0140862159958146,0.010456031400106291
C,sampling,Penphrase Passage,50.82403,-126.57066,NA,87166.13,27980.89,2019,0.14184314058999375,0.04507320385845917,0.007297002277724291,0.007008414392774902
E,sampling,Phillip Point West,50.872,-126.68602,NA,NA,26719.5,2019,0.03004448209236696,0.016842217710027352,0.005384763011311517,0.005125015833986881
W2,sampling,Wakeman 2,50.9033111,-126.58716,NA,NA,16974.7,2019,0.07290014206387867,0.03667413708573266,0.005070610152629845,0.004870418142800365
W4,sampling,Wakeman 4,50.9468222,-126.51144,NA,NA,9108.43,2019,0.03597815039867441,0.023438465582331255,0.00629498245800889,0.006132662043526505
W5,sampling,Wakeman 5,51.0036889,-126.50693,NA,NA,3062.03,2019,0.059403312091578994,0.04202496178485748,0.006028675887999331,0.0059426564897571334
18,sampling,Denham Island,50.7889667,-126.4917,NA,83318.48,33187.32,2019,0.19475797509848808,0.051248929305069746,0.12957635863469383,0.062184703197904305
19,sampling,Baker Island,50.76145,-126.55655,NA,88135.61,36762.59,2019,0.399926726598119,0.10433849708000216,0.030140912715061762,0.01761637681943083
20,sampling,Jumper Island,50.7939833,-126.60127,NA,91523.42,40623.12,2019,0.46024778909046177,0.15058083637368203,0.34940779200668187,0.22450772870978153
21,sampling,Arthur Point,50.76455,-126.6626,NA,95872.05,44602.21,2019,0.21969797980234784,0.061817029318243434,0.0140862159958146,0.010456031400106291
C,sampling,Penphrase Passage,50.82403,-126.57066,NA,87166.13,27980.89,2019,0.14184314058999375,0.04507320385845917,0.007297002277724291,0.007008414392774902
E,sampling,Phillip Point West,50.872,-126.68602,NA,NA,26719.5,2019,0.03004448209236696,0.016842217710027352,0.005384763011311517,0.005125015833986881
W2,sampling,Wakeman 2,50.9033111,-126.58716,NA,NA,16974.7,2019,0.07290014206387867,0.03667413708573266,0.005070610152629845,0.004870418142800365
W4,sampling,Wakeman 4,50.9468222,-126.51144,NA,NA,9108.43,2019,0.03597815039867441,0.023438465582331255,0.00629498245800889,0.006132662043526505
W5,sampling,Wakeman 5,51.0036889,-126.50693,NA,NA,3062.03,2019,0.059403312091578994,0.04202496178485748,0.006028675887999331,0.0059426564897571334
18,sampling,Denham Island,50.7889667,-126.4917,NA,83318.48,33187.32,2023,0.033465100284255055,0.012664195745463899,2.315040393109433e-10,1.246110757475605e-6
19,sampling,Baker Island,50.76145,-126.55655,NA,88135.61,36762.59,2023,0.0724926671419648,0.02638286781319897,1.078050940584892e-10,5.802796700012008e-7
20,sampling,Jumper Island,50.7939833,-126.60127,NA,91523.42,40623.12,2023,0.06431685304060003,0.02441366117850978,1.1946305214245746e-10,6.430306576695521e-7
21,sampling,Arthur Point,50.76455,-126.6626,NA,95872.05,44602.21,2023,0.04573973428788004,0.019105553161364978,2.887205186126947e-10,1.5540884147473331e-6
22,sampling,Wicklow Bay,50.7830833,-126.70113,NA,98611.59,47321.83,2023,0.01520883093528473,0.010304280256009978,1.1124987795544602e-10,5.988218255532122e-7
C,sampling,Penphrase Passage,50.82403,-126.57066,NA,87166.13,27980.89,2023,0.02571117880674719,0.011249246001330006,2.6099210210776986e-11,1.404835399460524e-7
E,sampling,Phillip Point West,50.872,-126.68602,NA,NA,26719.5,2023,0.005446009218491985,0.0033768807744435788,1.9259698218329922e-11,1.0366867656695191e-7
W2,sampling,Wakeman 2,50.9033111,-126.58716,NA,NA,16974.7,2023,0.013571164964568908,0.007371899282189862,3.373507681990523e-11,1.8158492028873685e-7
W4,sampling,Wakeman 4,50.9468222,-126.51144,NA,NA,9108.43,2023,0.006521574848023475,0.004557821963181626,2.2515282878048654e-11,1.2119242748694291e-7
W5,sampling,Wakeman 5,51.0036889,-126.50693,NA,NA,3062.03,2023,0.010767733797677478,0.008196493613674357,2.156278336021126e-11,1.1606543318217074e-7
